code,violation_code_title
10-715,LITTER ON VACANT LOTS
6-Sep,VACANT WATERFRONT STRUCTURE
7-Sep,MANAGING AGENT REQUIRED
9-3904,VACANT LOT LICENSE
9-3905,VACANT STRUCTURE LICENSE
9-3906,VACANT WATERFRONT STRUCTURE
9-3906 (2)(A),VACANT WATERFRONT STRUCTURE FAILURE TO PROVIDE BARRIER
9-3906 (2)(B),VACANT WATERFRONT STRUCTURE FAILURE TO POST
9-3907,MANAGING AGENT REQUIRED
CP-102,LICENSE - VACANT LOT
CP-103,LICENSE - VACANT BUILDING
F-304.1.1,WASTE MATERIAL
F-311.2.2,FIRE PROTECTION VACANT BUILDING
F-311.3,REMOVAL OF COMBUSTIBLES
F-311.4,REMOVAL OF HAZARDOUS MATERIALS
F-901.7,SYSTEMS OUT OF SERVICE
FC-13-311.21,VACANT FA OPERABLE
FC-13-311.22,FIRE PROTECTION/VACANT BUILDIN
FC-13-311.3,REMOVAL OF COMBUSTIBLES
FC-304.1/2,EXT RUBBISH/EXCESS STORAGE
FC-901.7/5,FIRE SUPP/STANDPIPE-MAINT VAC
PM-102.4/1,LICENSE-VAC LOT
PM-102.4/2,LICENSE-VAC RES BLDG
PM-102.4/3,LICENSE-VAC WHARF/PIER
PM-102.4/4,LICENSE-VAC COMM BLDG
PM-302.2/4,EXT A-VACANT LOT CLEAN/MAINTAI
PM-304.9/2,PIER-VACANT FAULTY/NO BARRIER
PM-304.9/3,PIER-VACANT POST SIGNS
PM-304.9/4,PIER-VACANT OBTAIN LICENSE
PM-304.9/5,"PIER-UNSAFE, NO REPORT REC'D"
PM-306.0/1,VACANT PROP STANDARD
PM-306.0/2,VACANT LOT STANDARD
PM-306.0/90,VACANT BLDG KEEP CLEAN GET LIC
PM-306.0/91,VACANT LOT KEEP CLEAN GET LIC
PM-306.2/1,VACANT BLDG UNSECURED COUNT
PM-306.2/4,VAC PROP REPLAC WIN/DRS 80%
PM-306.2/90,VACANT BLDG - VOTA
PM-306.2/91,CP VAC PROP REPLAC WIN/DRS 80%
PM-306.2/92,VAC PROP REPLAC WIN/DRS 80% CP
PM-307.1/1,VACANT PROP UNSAFE
PM-307.1/19,VACANT BLDG UNSEC/UNSAFE CSU
PM-307.1/90,VACANT BLDG - UNSAFE
PM-307.2/1,VACANT PROP UNSAFE EQUIPMENT
PM-307.3/90,UNSAFE - UNFIT NO EVAC
PM-307.3/91,UNSAFE - UNFIT RELOCATE
PM-309.6,PEST ELIMINATION-VACANT LOT
PM15-108.2,VACANT & OPEN
PM15-301,VACANT STRUCTURE & LAND
PM15-304.19V,DOOR AND WINDOW VACANT
PM15-901.1,VACANT & OPEN PROPERTIES
PM15-901.2,VACANT PROPERTIES- BLIGHTED CONDITION
PM15-902.1,LARGE VACANT PROPERTIES- OPENINGS IN GOOD REPAIR
PM15-902.3,LARGE VACANT PROPERTIES- PERIODIC INSPECTION REQ
PM15-902.7,LARGE VACANT PROPERTIES- POSTING
